Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
252.5391541,87.6901626,-2960,1.48E-04,6,0.25,0.004186193,TGM1,result,4.764764433,0.005441045,5182
12172.77105,114.5483168,-2733,1.54E-04,31,0.25,0.009284381,STXBP1,result,4.840079628,0.005432425,85538
6283.268236,118.4143137,-2894,1.50E-04,28,0.25,0.010805099,TOMM70A,result,4.786662243,0.005430129,37244
2181.531037,58.18107489,-2846,1.51E-04,29,0.25,0.007673796,GRIN2B,result,4.802587923,0.005354927,42248
223.1709061,17.21670444,-2911,1.21E-04,19,0.2,0.004648155,S100B,result,4.261446583,0.005306019,3864
376.5878764,39.73665775,-2834,1.51E-04,14,0.25,0.006134164,SEPT5,result,4.806569343,0.005075749,7104
9.163794034,11.2683085,-2952,1.18E-04,7,0.2,0.003271277,TAOK3,result,4.190776377,0.00507436,282
43.07423362,36.62243983,-2830,1.22E-04,7,0.2,0.002617083,TPPP,result,4.279031188,0.004979407,838
17928.73333,48.57586348,-2664,1.33E-04,65,0.25,0.009479297,A2M,result,4.513603185,0.00491084,339134
5484.334786,203.5071221,-2795,1.28E-04,23,0.25,0.006781043,SYN1,result,4.406104844,0.004808717,132928
181.2951799,89.92173563,-2988,1.48E-04,7,0.25,0.004553869,CYB5R1,result,4.755474453,0.0047499,4956
905.2459314,13.32894091,-2695,1.55E-04,57,0.25,0.023623522,UBASH3B,result,4.852687459,0.004662642,23688
119.0864669,13.13226839,-2988,1.48E-04,9,0.25,0.004362442,MARC1,result,4.755474453,0.004611537,4456
7.958310931,5.283215136,-2989,1.48E-04,7,0.25,0.004682912,MFN1,result,4.755142668,0.004608129,90
1430.935141,27.71058751,-2920,1.49E-04,30,0.25,0.007689273,UBE2L6,result,4.778035833,0.004513176,20530
988.179488,73.59246771,-2885,1.20E-04,16,0.2,0.003268964,MAPK12,result,4.232913072,0.004444106,12024
32505.98988,22.33537551,-2252,1.66E-04,242,0.25,0.084256549,HSPA8,result,4.999668215,0.004313115,741388
438.0759267,67.1327112,-2840,1.51E-04,19,0.25,0.008384851,GCDH,result,4.804578633,0.004278574,17224
871.9722841,201.1730017,-2933,1.49E-04,10,0.25,0.005057148,ENSA,result,4.773722628,0.004273462,14602
13.46051007,7.969640567,-2959,1.48E-04,10,0.25,0.006554885,MYL9,result,4.765096218,0.004223042,318
0,0,-3013,1.03E-04,1,0.2,7.71E-05,SORCS1,result,3.776708693,0.004211498,0
141.2652037,7.46097352,-2908,1.50E-04,19,0.25,0.008508838,MAPKAP1,result,4.782017253,0.004188618,1858
14623.98623,28.57547553,-2513,1.59E-04,128,0.25,0.043479336,CLTC,result,4.913072329,0.004184924,268984
43.52272695,19.49690581,-2963,1.48E-04,9,0.25,0.004770644,EPN2,result,4.763769078,0.004729835,502
6058.423578,1300.874649,-2956,1.08E-04,4,0.2,3.07E-04,FCGRT,result,3.916390179,0.004155542,54870
