gene name,Closeness unDir,Degree unDir,Eccentricity unDir,Radiality unDir
SMAD4,0.000276625,500,0.333333333,3.205064548
SNRK,0.000276702,461,0.333333333,3.205561072
SLC9A3R1,0.000258799,177,0.333333333,3.08142999
SCAF11,0.00027137,368,0.333333333,3.170307845
AGPS,0.000271739,382,0.333333333,3.172790467
TEP1,0.000259202,184,0.333333333,3.084409136
PIK3C2G,0.000254323,112,0.333333333,3.047666336
PIP5K1B,0.000272109,389,0.333333333,3.175273088
VRK1,0.000298507,893,0.333333333,3.336643496
PIK3CD,0.000275179,461,0.333333333,3.195630586
SGMS1,0.000279877,485,0.333333333,3.22591857
LEPR,0.000258933,180,0.333333333,3.082423039
E2F6,0.000259067,181,0.333333333,3.083416087
PPP2R2A,0.000271297,385,0.333333333,3.169811321
BUB1,0.000277085,480,0.5,3.208043694
POLE,0.000263852,267,0.333333333,3.11817279
FHL2,0.000261575,219,0.333333333,3.101787488
CTBP1,0.000259943,209,0.333333333,3.089870904
INPP5B,0.000262881,239,0.333333333,3.11122145
FEN1,0.00028169,561,0.5,3.23733863
RNASEH2A,0.000273448,378,0.5,3.184210526
ATF2,0.00027571,469,0.5,3.199106256
CRKL,0.000269469,369,0.333333333,3.157398213
TFAP2C,0.000269687,336,0.333333333,3.158887786
DNAJC7,0.000255428,121,0.333333333,3.056107249
IGBP1,0.000260892,207,0.333333333,3.096822244
PDK1,0.000265604,285,0.333333333,3.130585899
RARA,0.000268601,371,0.333333333,3.151439921
PIK3C2B,0.00026476,286,0.333333333,3.124627607
SYNJ2,0.000255167,119,0.333333333,3.054121152
NR3C1,0.000277162,510,0.333333333,3.208540218
IL3RA,0.000255558,140,0.333333333,3.057100298
TLK2,0.000283366,558,0.333333333,3.247765641
CASP6,0.000268384,342,0.333333333,3.149950348
CASP7,0.000263435,265,0.333333333,3.115193644
CD86,0.000262743,250,0.333333333,3.110228401
PTPN13,0.000270343,357,0.333333333,3.163356504
NF1,0.000262536,237,0.333333333,3.108738828
EIF4G2,0.000263505,252,0.333333333,3.115690169
ZMYM2,0.000267237,302,0.333333333,3.142005958
FCGR3B,0.000249314,77,0.333333333,3.008440914
CCNE2,0.000266454,301,0.333333333,3.136544191
CRADD,0.000271592,384,0.333333333,3.171797418
INSR,0.00026824,352,0.333333333,3.148957299
PPP1CA,0.000268601,356,0.333333333,3.151439921
DAXX,0.000267809,345,0.333333333,3.145978153
BIRC2,0.000275938,478,0.333333333,3.200595829
OCRL,0.000262674,232,0.333333333,3.109731877
RPS6KA5,0.000271739,389,0.333333333,3.172790467
CASP2,0.000266667,336,0.333333333,3.138033764
NKX3-1,0.000256871,157,0.333333333,3.067030785
KIF22,0.000273823,423,0.333333333,3.186693148
FGFBP1,0.000255363,125,0.333333333,3.055610725
OSBPL8,0.00026295,236,0.333333333,3.111717974
MAST3,0.000257533,162,0.333333333,3.071996028
CX3CL1,0.000254842,112,0.333333333,3.05163853
NFAT5,0.000267451,305,0.333333333,3.143495531
LYN,0.000276319,540,0.333333333,3.203078451
GTSE1,0.000261849,254,0.333333333,3.103773585
EIF4A1,0.000273224,436,0.333333333,3.182720953
TRIM23,0.000268528,326,0.333333333,3.150943396
PIP5K1C,0.000257998,167,0.333333333,3.075471698
DNA2,0.000270051,337,0.333333333,3.161370407
SYNJ1,0.000265463,277,0.333333333,3.12959285
SOCS5,0.000266809,302,0.333333333,3.139026812
PPP2R5E,0.000275406,430,0.333333333,3.197120159
SKP2,0.000275482,475,0.333333333,3.197616683
UBE2A,0.000263644,258,0.333333333,3.116683217
SOCS6,0.000263089,247,0.333333333,3.112711023
EIF4G3,0.000269034,350,0.333333333,3.154419067
TP53BP1,0.000273898,427,0.333333333,3.187189672
CENPF,0.000281373,586,0.5,3.235352532
EIF4EBP1,0.000257136,149,0.333333333,3.069016882
PNRC1,0.000267308,312,0.333333333,3.142502483
CDK8,0.000282326,541,0.333333333,3.241310824
MYCBP2,0.00027115,360,0.333333333,3.168818272
KAT6A,0.000267594,312,0.333333333,3.14448858
NFYA,0.000265111,274,0.333333333,3.127110228
BCR,0.000266241,298,0.333333333,3.135054618
DCK,0.000282008,556,0.333333333,3.239324727
TNIP1,0.000260892,214,0.333333333,3.096822244
POLE3,0.000270563,366,0.5,3.164846077
FRYL,0.000260146,198,0.333333333,3.091360477
PKN1,0.000265182,283,0.333333333,3.127606753
GTF2F1,0.000263713,271,0.333333333,3.117179742
UBXN7,0.000269542,327,0.333333333,3.157894737
SUPT5H,0.000266028,292,0.333333333,3.133565045
TCERG1,0.00029129,645,0.333333333,3.295431976
PAQR4,0.000255297,125,0.333333333,3.055114201
TGFA,0.000268528,320,0.333333333,3.150943396
BCL2,0.000268962,367,0.333333333,3.153922542
PRDM1,0.00026976,354,0.333333333,3.15938431
PRIM2,0.000263644,306,0.333333333,3.116683217
