gene name,Degree unDir,EigenVector unDir
PRDX2,194,0.01083893832917022
ADD2,232,0.015851380348598575
OGDH,466,0.028039530003057193
NKX2-5,229,0.012994712586584233
ISL1,703,0.04114147839121987
DIAPH1,150,0.009139821216990576
UROD,360,0.02031613364105085
TSPO,422,0.023893438633623997
ZFHX2,210,0.014083564316511083
C14orf1,179,0.01004892963686569
FOXF1,371,0.021966884919485757
UBB,310,0.020306157996261568
TNK2,276,0.016927643940577126
STX11,406,0.025345985800225325
CPA2,472,0.026017771034914195
ATP6V0A1,422,0.02498312804590425
GCH1,426,0.028037549789219938
CFHR2,287,0.016348429427738523
CNGA3,214,0.013430843305468315
MADD,180,0.010642235760567708
CAMK1G,334,0.021419213186278378
ABHD5,440,0.028357026475779045
EDIL3,467,0.031607629321626585
TAT,365,0.02148177201422525
LGALS1,251,0.014226386101780567
CDK10,91,0.004439458682400345
NUBP1,176,0.010925340265973357
ERBB2,247,0.014864471987041572
TMED3,345,0.020820173151432288
ABCB6,178,0.010895547229953817
NMI,235,0.013641671525983142
ENO3,229,0.011333939056457095
ALCAM,454,0.02951744739138935
CASP7,149,0.008947034074799708
ZBTB17,281,0.016319634568725046
ARHGEF16,224,0.013533737429758295
RUFY3,356,0.023757025510009695
ALOX15,229,0.013590134702824523
PPEF1,213,0.013387021485880656
FDFT1,239,0.014334667180940947
CALB1,185,0.012756905765722538
GABRA1,383,0.02473864856042897
S100A9,347,0.015959115658694144
APBB2,492,0.03350484655708937
AMFR,427,0.026617640663163637
ACTN1,431,0.02619680184952166
RHOA,251,0.01384819825605927
C1orf105,120,0.007045679427892682
LPA,296,0.017821319864708838
FAAH,306,0.018616450119189814
PHGDH,363,0.02334041195101476
VIPR1,210,0.012536501076364252
BPI,416,0.02342711611693475
SYP,211,0.013444702041228627
CCNH,221,0.01385632601809259
C14orf132,356,0.025647272308236338
OPRL1,210,0.012352712339405976
ZNF35,163,0.009178852006265267
CNN3,373,0.024047385358332868
CDO1,307,0.019217780630137397
PRTN3,312,0.01527036036906938
RNF19B,294,0.01806285331878867
PROCR,167,0.010665611840612387
PPP1R37,75,0.0040326956802686255
MAPK1,392,0.024719180897766205
KRT33A,238,0.013354528063602582
EMR1,227,0.012959667481661325
DHX9,177,0.010764973022310498
SLC18A3,199,0.011797341162683108
MYOD1,159,0.008356410573015984
UBA1,352,0.018910392729990382
PPIF,335,0.019872557424840693
ACTN2,304,0.01871238145727587
CBR4,239,0.015310522079017161
NCDN,134,0.008217430791697464
FUCA1,200,0.011095365148070099
NPHP1,184,0.011599738383288137
TUSC3,432,0.029969599358302124
CTRC,241,0.01262961652255872
OAZ2,240,0.01404412984102648
SYDE1,300,0.01816098908699566
ZMYM3,122,0.0070125898285652724
DDC,285,0.015867610337569622
PEX6,153,0.007821433552741432
C3AR1,212,0.01278320090937393
APC,695,0.043578306885590536
ALDOB,291,0.01749578037392274
NPY2R,416,0.02764879937422056
SDF2,111,0.005198406455009402
GTF3C1,325,0.017334299684689143
SULF1,112,0.007008948171633397
TFR2,205,0.012137830231501648
TWF2,140,0.007021994197530797
ATF3,246,0.015624569702866641
MAN2A1,373,0.025026456829568704
GLDC,271,0.017672352088264356
IBSP,376,0.02321830488690467
MICU1,199,0.011431857774268328
MMP24,153,0.008042487607224633
CACNA2D2,298,0.017086217112415925
NDUFS4,308,0.018273372415861893
MAPKBP1,211,0.012525667328234907
ORC3,164,0.010372905640696458
PTPRE,272,0.01701737821806029
ODF1,378,0.022880186299031754
PPOX,168,0.009127347908292914
SLC11A1,169,0.010049586794212981
GPR143,231,0.014367587013155323
ACADS,353,0.020613611802523933
PMP22,517,0.034225019041149295
GUCY2D,176,0.010658879819310846
SLC35D1,195,0.013452491210045587
PDLIM1,301,0.017980275922647566
RGS19,163,0.008894682769728159
REM1,406,0.024362220621683292
CHMP2A,425,0.025957810204317536
ATP6V1G2,162,0.009334085395246843
FAM105A,199,0.012538655436160426
TEP1,116,0.006660038316013351
MAP3K10,335,0.020824791496727592
MCM3AP,204,0.011817271114270585
PSMD8,331,0.016727089464715916
IARS,289,0.016913836489148314
EDC4,241,0.013128886178455328
ST8SIA5,210,0.012537986861673279
PPFIA2,543,0.036255213567384426
C5,421,0.024769731649268805
ACP5,269,0.01612095937898006
PET112,646,0.04155468356862232
TUBB2B,129,0.006872709768192223
P2RX1,193,0.010445859870322798
NT5C2,524,0.03635636601935136
TFRC,313,0.019404523975119714
PRR4,203,0.010748550201485104
TM4SF5,400,0.022873426209895804
DHRS1,160,0.009614002807928386
SDHA,193,0.009340167043133474
KRT83,131,0.007299319515261073
PSMF1,236,0.015287359651252993
HOXC4,239,0.015352364529211213
ZYX,231,0.011976374995727984
MGAT3,273,0.015288167613595768
KRT31,294,0.01776891837550813
ITGB6,356,0.02374719921826286
LAPTM5,468,0.027536840622817575
RNASE3,340,0.01752144519028127
C2CD2L,198,0.012942177273360085
EXT2,234,0.015116925889050326
TARDBP,171,0.01078670296278213
SLC24A1,65,0.004172142252210427
GLRB,341,0.022289043922196727
DNAJB9,345,0.02366627226956597
TAP2,138,0.008197603586409146
IFITM3,152,0.008588604100458351
TRAK2,340,0.022524398157185245
PTPRG,409,0.028718325545896206
LBX1,381,0.023543215379173067
APOM,238,0.013777703090851438
MXRA8,141,0.007816843266380397
LHFPL2,286,0.019626935167207024
PEA15,184,0.011119400682366254
DDO,134,0.008381320022232668
ATP6V1C1,197,0.012727121721730638
ATP2A2,375,0.024304599271428674
DDX51,160,0.00939375650668087
MYH7,302,0.01686805004721345
RHAG,276,0.015029699657018008
GALE,201,0.01059199514275692
ADRB3,152,0.009377428617053344
ADAMTSL2,333,0.01969244095685771
HIST1H2AG,36,0.002604661028116025
FLII,228,0.011821184425305298
PRLR,259,0.017429340894472393
CH25H,179,0.010834183600038136
GPR176,76,0.004610875033457699
ELAVL4,333,0.021938803716627212
EPX,270,0.014402984530572586
CD40LG,203,0.012709600566563761
GRK6,199,0.010522897940671787
MYO1A,208,0.011464422979241362
ALDH3B2,230,0.014180208491966925
ZFP36L1,553,0.035919567670755596
PDE4D,559,0.036065669391175253
NSDHL,168,0.009190780138793686
GH1,167,0.009260701628191996
CDIPT,308,0.01602765726870307
ATP1B1,286,0.01849755152341569
DAPK2,280,0.018493565939934273
OR7A5,169,0.010067221257464723
ARF3,199,0.011899046135946523
CDA,465,0.024823595267422883
CYP11A1,273,0.016624708504783287
ZNF384,167,0.012157843429116064
LECT1,308,0.020486548149137
