Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
3644.467208,8.68990844,-1493,1.75E-04,339,0.333333333,0.019710385,FBP1,result,3.104844061,0.001721745,107628
1403.647135,8.758694788,-1623,1.71E-04,202,0.333333333,0.01234174,FKBP4,result,3.061712011,0.041914855,52456
1540.523383,9.334548132,-1607,1.72E-04,209,0.333333333,0.012902348,CYB5R1,result,3.067020571,0.002472404,46140
881.5512436,9.700054212,-1691,1.69E-04,148,0.333333333,0.008091648,MYL12B,result,3.03915063,0.001661996,23522
1665.08905,8.071660218,-1578,1.73E-04,244,0.333333333,0.016969941,LIMS1,result,3.076642336,0.00258727,55902
3354.194198,7.694930616,-1501,1.75E-04,339,0.333333333,0.017918547,APOC1,result,3.101194426,0.001657564,98196
2003.750518,7.608932044,-1540,1.74E-04,282,0.333333333,0.019060941,MAP2K6,result,3.089250166,0.001656676,74554
333.3388118,9.127669727,-1733,1.67E-04,98,0.333333333,0.005700063,MAPK12,result,3.01857996,0.002327482,10504
4140.807753,7.856495748,-1474,1.76E-04,375,0.333333333,0.02155145,HSD17B4,result,3.111147976,0.001649269,133006
3634.184959,8.094682336,-1476,1.76E-04,357,0.333333333,0.0225042,CYB5A,result,3.110484406,0.007814733,129592
2774.74306,8.175571572,-1553,1.73E-04,285,0.333333333,0.015517855,HSP90AB1,result,3.084936961,0.001617298,83654
3475.038648,6.959083072,-1473,1.76E-04,384,0.333333333,0.021979906,HP,result,3.111147976,0.001589853,114830
4886.142083,7.817131641,-1425,1.77E-04,415,0.333333333,0.024529289,AADAC,result,3.126741871,0.001568812,152116
1186.835733,8.63364327,-1629,1.71E-04,195,0.333333333,0.012338557,TMCC2,result,3.058725946,0.002166538,39854
1990.972789,11.63751459,-1635,1.71E-04,193,0.333333333,0.009612172,HTRA2,result,3.057730591,0.001562764,53152
2165.881687,10.74911843,-1611,1.72E-04,213,0.333333333,0.011106063,ITGB7,result,3.065693431,0.001787072,61552
2203.26565,7.410050129,-1548,1.73E-04,290,0.333333333,0.017960761,CAPN2,result,3.086595886,0.001561913,69412
938.5931062,7.744563943,-1626,1.71E-04,194,0.333333333,0.013395,SLC6A2,result,3.059721301,0.001559916,34122
5070.578014,8.176094554,-1414,1.78E-04,416,0.5,0.0275825,KCNJ6,result,3.131055076,0.007387176,179132
2325.652912,9.298190151,-1574,1.73E-04,247,0.333333333,0.015368571,HTRA1,result,3.076642336,0.001556905,78610
15707.07312,8.204634558,-1141,1.87E-04,718,0.333333333,0.044629184,DAPK1,result,3.221632382,0.001549016,483374
7032.316032,7.220047587,-1364,1.79E-04,500,0.333333333,0.027780686,TTPA,result,3.146317186,0.001543038,225992
1485.823658,5.924043086,-1575,1.72E-04,270,0.333333333,0.015679706,CFHR3,result,3.075978766,0.001535252,55480
3347.640443,8.652387384,-1511,1.75E-04,314,0.333333333,0.018909362,CYP2D6*KDG*,query,3.098871931,0.864360872,151046
24258.66122,9.157832304,-1113,1.88E-04,785,0.5,0.040853882,BST1*KDG*,query,3.230922362,0.816212937,701036
8372.608191,11.63257171,-1447,1.76E-04,380,0.333333333,0.020032282,BDNF*KDG*,query,3.119774386,0.701411917,206206
1024.992136,8.487838227,-1632,1.71E-04,186,0.333333333,0.012534833,HSPB6,result,3.056403451,0.001527673,34684
2870.111378,9.246332709,-1537,1.74E-04,285,0.333333333,0.017471133,ACE,result,3.090245521,0.003089639,84548
1304.733031,8.090213,-1631,1.71E-04,204,0.333333333,0.012639766,UBE2G1,result,3.059057731,0.001521338,41948
6333.503548,8.067022341,-1358,1.79E-04,474,0.333333333,0.030938946,SCARB1,result,3.149635036,0.001520798,208088
1828.321671,8.063032459,-1555,1.73E-04,260,0.333333333,0.018440022,EPB41L1,result,3.084273391,0.003913409,65680
4840.998675,8.461424484,-1454,1.76E-04,387,0.333333333,0.020941877,DMTN,result,3.117451891,0.002394188,131004
6632.917353,8.985357192,-1400,1.78E-04,437,0.333333333,0.026229011,FAH,result,3.135700066,0.00151242,227460
4126.602026,10.12434064,-1512,1.74E-04,312,0.333333333,0.018272268,ZAP70,result,3.098540146,0.001494442,127646
1032.999417,8.801176129,-1639,1.71E-04,181,0.333333333,0.0117767,MAPK11,result,3.055076311,0.002007333,32564
1985.56744,7.576290024,-1574,1.73E-04,267,0.333333333,0.0156419,HMGCS1,result,3.077969476,0.00146458,60928
1232.257848,8.639459795,-1625,1.71E-04,198,0.333333333,0.013145853,ACTG2,result,3.061048441,0.001459009,44696
3899.222469,8.324717135,-1466,1.76E-04,357,0.333333333,0.023061768,VLDLR,result,3.113802256,0.036872233,121476
2744.345989,8.224073949,-1515,1.74E-04,305,0.333333333,0.02072176,ESRRB,result,3.097544791,0.001452838,93832
4917.954787,6.778952018,-1422,1.77E-04,449,0.333333333,0.024614399,CYP2C9,result,3.128069011,0.020453241,157970
588.3834695,10.81385983,-1721,1.68E-04,110,0.333333333,0.006090192,TGM1,result,3.02919708,0.002217098,16082
1012.318065,8.060228558,-1643,1.71E-04,186,0.333333333,0.012633639,RPS6KA3,result,3.055076311,0.00145098,34688
1519.256679,9.05582007,-1623,1.71E-04,204,0.333333333,0.011190535,HSPA1A,result,3.061712011,0.001438555,41468
3878.204392,8.458950974,-1503,1.75E-04,329,0.333333333,0.017578843,CDC37,result,3.101526211,0.001422517,112234
2078.421499,8.333346583,-1569,1.73E-04,249,0.333333333,0.014612514,ART1,result,3.077305906,0.001421613,63880
1234.520824,8.381701138,-1619,1.71E-04,202,0.333333333,0.013601143,SLC11A2,result,3.063039151,0.001411873,41130
3563.120648,7.297448983,-1472,1.76E-04,371,0.5,0.022531863,CAV1,result,3.111811546,0.00141183,116330
1567.988829,8.678415131,-1600,1.72E-04,220,0.333333333,0.014570791,SYT11,result,3.069343066,0.002836413,49350
3569.730552,7.430873066,-1475,1.76E-04,364,0.333333333,0.02364572,RAD21,result,3.110816191,0.001410082,119888
2399.761294,9.046744994,-1561,1.73E-04,265,0.333333333,0.016639913,SGK1,result,3.082282681,0.001380905,81630
4678.153952,9.725876731,-1490,1.75E-04,333,0.333333333,0.019558502,TOMM40,result,3.105839416,0.001359377,138184
1339.477394,11.12954384,-1652,1.70E-04,169,0.333333333,0.009380262,POR,result,3.052090246,0.007584625,34780
1946.948478,9.110143512,-1597,1.72E-04,230,0.333333333,0.013152817,CKM,result,3.070338421,0.001342576,61536
295.3392403,8.400032524,-1734,1.68E-04,96,0.333333333,0.006443043,USP9Y,result,3.024883875,0.00293273,9860
3713.551332,7.250911791,-1439,1.77E-04,390,0.333333333,0.026551066,TYRO3,result,3.122760451,0.001331951,133016
5339.566027,7.663687064,-1403,1.78E-04,439,0.333333333,0.027972752,RAI14,result,3.134704711,0.001309696,174710
6548.040554,7.19324404,-1336,1.80E-04,514,0.333333333,0.033608205,MAP1B,result,3.156934307,0.00218172,230790
4832.32057,9.458433699,-1461,1.76E-04,360,0.333333333,0.021166562,RPS6KA1,result,3.115461181,0.001291296,139582
1417.028488,9.666953987,-1629,1.71E-04,193,0.333333333,0.011201897,MAP2K3,result,3.059721301,0.00158888,40118
3437.743516,8.876883536,-1503,1.75E-04,320,0.333333333,0.019303349,TNFRSF1A,result,3.101526211,0.001279666,101046
1409.072695,8.366531408,-1604,1.72E-04,212,0.333333333,0.013622326,SYN1,result,3.068015926,0.002514881,47316
1076.034368,8.541438473,-1656,1.70E-04,176,0.333333333,0.009099978,CYB5R3,result,3.050763106,0.001270598,29244
7475.520463,9.197905383,-1373,1.79E-04,456,0.333333333,0.0276916,AP1B1,result,3.144658261,0.001269768,222550
2253.201553,9.487093672,-1576,1.73E-04,244,0.333333333,0.013795517,MARCH2,result,3.076642336,0.00125739,60878
643.1572931,9.078380622,-1704,1.69E-04,132,0.333333333,0.007010062,MYL6,result,3.034837425,0.001256179,18030
3128.767768,7.401791422,-1488,1.75E-04,346,0.5,0.021866758,CAPZA2,result,3.106502986,0.001251678,104352
15370.42854,8.666590002,-1227,1.84E-04,644,0.333333333,0.035531654,LECT2,result,3.193098872,0.001247159,533946
4291.615379,8.000443091,-1470,1.76E-04,375,0.333333333,0.022009957,IDI1,result,3.112475116,0.00123478,128536
1993.29406,9.092557414,-1594,1.72E-04,238,0.333333333,0.014548928,MPC2,result,3.071333776,0.00590052,58994
892.6703734,8.875633207,-1656,1.70E-04,164,0.333333333,0.010667688,LRP2,result,3.04844061,0.001230757,33806
3713.235947,7.876797497,-1455,1.76E-04,368,0.333333333,0.024977808,SLC1A2,result,3.117451891,0.004102485,128122
1020.467637,8.350550562,-1634,1.71E-04,184,0.333333333,0.01271408,PAWR,result,3.058062376,0.002060837,34898
3810.347623,7.697893011,-1447,1.76E-04,383,0.333333333,0.025658954,NR5A2,result,3.119774386,0.001229912,134464
7300.215978,7.572406874,-1312,1.81E-04,522,0.5,0.034824367,KCNAB1,result,3.164897147,0.001229025,254246
