gene name,Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,Radiality unDir,Stress unDir
NCAPH,1520.021801,3.319034838,-343,2.74E-04,398,0.333333333,0.032985699,3.186693148,90294
CSNK2B,2303.19359,4.883768101,-373,2.72E-04,387,0.5,0.026241153,3.171797418,93906
PRKAA1,1813.600667,4.010448444,-392,2.70E-04,379,0.333333333,0.023976064,3.162363456,81372
AP3B1,1855.371401,5.039094328,-418,2.68E-04,338,0.333333333,0.021356959,3.149453823,76948
MCM3,5384.631759,3.071074825,-116,2.92E-04,791,0.5,0.049328169,3.299404171,269758
MADD,1347.776386,6.899099354,-521,2.61E-04,209,0.333333333,0.01041448,3.098311817,36946
TAOK2,245.0631791,2.752749822,-565,2.58E-04,173,0.333333333,0.012009967,3.076464747,11392
GATA3,4457.42559,5.512755605,-270,2.79E-04,484,0.333333333,0.02932018,3.222939424,172238
CREB1,3473.2985,4.500585758,-303,2.77E-04,493,0.333333333,0.029383857,3.206554121,144800
DYRK2,4401.411552,4.772015637,-237,2.82E-04,539,0.333333333,0.033473132,3.239324727,188306
RELA,3301.937262,4.214268215,-347,2.74E-04,480,0.333333333,0.023580491,3.184707051,119400
MELK,5402.926263,3.963500801,-131,2.91E-04,698,0.333333333,0.047288249,3.291956306,266026
SMC2,2777.81,2.620648101,-256,2.81E-04,630,0.333333333,0.040205958,3.229890765,152296
SUMO2,5943.679507,4.254484252,-154,2.89E-04,674,0.5,0.042348967,3.280536246,259428
TPT1,537.8908367,6.340834585,-582,2.57E-04,149,0.333333333,0.008848642,3.068023833,18556
XRCC6,2206.258869,4.557578245,-371,2.72E-04,396,0.333333333,0.026290646,3.172790467,98050
MSH6,2468.616971,3.978195589,-310,2.76E-04,472,0.333333333,0.034736117,3.203078451,123296
SMAD3,2676.475578,4.617175351,-376,2.71E-04,414,0.333333333,0.022567524,3.170307845,101320
AGAP2,584.4645231,6.008677256,-571,2.58E-04,166,0.333333333,0.009630246,3.073485601,20360
SIK2,2396.273807,4.693443888,-352,2.73E-04,401,0.333333333,0.026490998,3.182224429,104070
SMG1,4352.284017,4.752410399,-245,2.81E-04,530,0.333333333,0.033020174,3.235352532,185776
IRF5,810.3126033,6.204870772,-548,2.59E-04,190,0.333333333,0.01109593,3.08490566,27156
DEDD,329.3751053,5.245668165,-604,2.56E-04,134,0.333333333,0.007569018,3.057100298,11810
CENPE,2567.471082,2.980559413,-267,2.80E-04,562,0.5,0.03858202,3.224428997,143556
CDK1,5608.37,2.879000752,-106,2.93E-04,843,0.5,0.049802841,3.304369414,284184
PIK3C2A,2999.181004,5.178179303,-345,2.74E-04,409,0.333333333,0.024663572,3.185700099,119004
CDK4,4793.207587,3.831275955,-191,2.86E-04,650,0.5,0.041059043,3.262164846,217526
HIPK3,1670.441766,4.448476974,-409,2.69E-04,347,0.333333333,0.022017624,3.153922542,75874
TP63,912.6568483,5.942674714,-529,2.61E-04,207,0.333333333,0.013067352,3.094339623,33142
PLK4,2557.663927,2.82073455,-268,2.80E-04,589,0.5,0.038427638,3.223932473,140612
DDX5,2005.256096,4.265418451,-380,2.71E-04,389,0.333333333,0.024409909,3.168321748,93018
IKBKG,975.9203483,5.465362705,-540,2.60E-04,217,0.333333333,0.010802217,3.088877855,33716
PIAS1,4295.51,4.706881427,-245,2.81E-04,532,0.333333333,0.032497128,3.235352532,185042
MCM6,3484.389217,2.848679091,-211,2.84E-04,669,0.5,0.043047574,3.252234359,189914
RARB,809.5589768,5.173692845,-531,2.60E-04,211,0.333333333,0.012259549,3.093346574,30522
BNIP3L,1194.93753,5.8937786,-491,2.63E-04,240,0.333333333,0.014980713,3.113207547,45640
TNFSF10,1443.296539,5.060014422,-479,2.64E-04,272,0.333333333,0.013501777,3.119165839,49556
EPB41L1,787.0438729,5.939343362,-536,2.60E-04,193,0.333333333,0.012000096,3.090863952,29376
DHFR,1059.911446,2.207608414,-370,2.72E-04,433,0.333333333,0.032039915,3.173286991,71076
STAT6,1122.917174,4.825385273,-504,2.62E-04,255,0.333333333,0.012219973,3.106752731,38020
INPP4B,1669.437481,5.761099868,-451,2.66E-04,286,0.333333333,0.017625896,3.13306852,63164
CEBPZ,2742.693111,4.928406088,-339,2.74E-04,415,0.333333333,0.027360051,3.188679245,118620
LIG1,2425.248591,4.924702624,-339,2.74E-04,402,0.333333333,0.031381429,3.188679245,105666
CHAF1B,1950.706399,4.049699267,-365,2.72E-04,408,0.5,0.029213556,3.175769613,90224
PML,1755.892331,4.842621281,-425,2.68E-04,337,0.333333333,0.019873408,3.145978153,71642
MAPKAPK5,1672.52266,4.725492044,-401,2.70E-04,343,0.5,0.02498585,3.157894737,80710
CDKN2A,1404.640144,5.260792405,-460,2.65E-04,292,0.5,0.019797036,3.128599801,55338
CDC6,3864.126295,2.449826638,-179,2.87E-04,764,0.5,0.044540611,3.268123138,208768
