gene name,Closeness unDir,Eccentricity unDir,Radiality unDir
TUSC3,0.000178126,0.333333333,3.137358991
CTRC,0.000172384,0.333333333,3.075315196
OAZ2,0.000172473,0.333333333,3.076310551
SYDE1,0.000174216,0.333333333,3.095554081
ZMYM3,0.000168947,0.333333333,3.036164565
DDC,0.00017328,0.333333333,3.085268746
PEX6,0.000169693,0.333333333,3.044790975
C3AR1,0.00017135,0.333333333,3.063702721
APC,0.000185598,0.5,3.212342402
ALDOB,0.00017337,0.333333333,3.086264101
NPY2R,0.000177525,0.333333333,3.131055076
SDF2,0.000166722,0.333333333,3.00995355
GTF3C1,0.000174764,0.333333333,3.101526211
SULF1,0.000167785,0.333333333,3.02256138
TFR2,0.000171438,0.333333333,3.064698076
TWF2,0.000169005,0.333333333,3.036828135
ATF3,0.000172354,0.333333333,3.074983411
MAN2A1,0.000176336,0.333333333,3.118447246
GLDC,0.00017331,0.333333333,3.085600531
IBSP,0.000176243,0.333333333,3.117451891
MICU1,0.00017138,0.333333333,3.064034506
MMP24,0.000169607,0.333333333,3.04379562
CACNA2D2,0.000174277,0.333333333,3.096217651
NDUFS4,0.000174186,0.333333333,3.095222296
MAPKBP1,0.000171585,0.333333333,3.066357001
ORC3,0.000170068,0.333333333,3.04910418
PTPRE,0.00017316,0.333333333,3.083941606
ODF1,0.000176523,0.333333333,3.120437956
PPOX,0.0001703,0.333333333,3.051758461
SLC11A1,0.000169463,0.333333333,3.042136695
GPR143,0.000172236,0.333333333,3.073656271
ACADS,0.000175469,0.333333333,3.109157266
PMP22,0.00018044,0.333333333,3.161247512
GUCY2D,0.000170445,0.333333333,3.053417386
SLC35D1,0.000171057,0.333333333,3.060384871
PDLIM1,0.000173974,0.333333333,3.092899801
RGS19,0.000170213,0.333333333,3.050763106
REM1,0.000177179,0.333333333,3.127405441
CHMP2A,0.000178031,0.333333333,3.136363636
ATP6V1G2,0.000170213,0.333333333,3.050763106
FAM105A,0.000170999,0.333333333,3.059721301
TEP1,0.000168577,0.333333333,3.03185136
MAP3K10,0.000175316,0.333333333,3.107498341
MCM3AP,0.000171438,0.333333333,3.064698076
PSMD8,0.000174338,0.333333333,3.096881221
IARS,0.0001734,0.333333333,3.086595886
EDC4,0.000172592,0.333333333,3.077637691
ST8SIA5,0.000171409,0.333333333,3.064366291
PPFIA2,0.000181127,0.333333333,3.168214997
C5,0.000176491,0.333333333,3.120106171
ACP5,0.00017325,0.333333333,3.084936961
PET112,0.000185151,0.5,3.208029197
TUBB2B,0.000169033,0.333333333,3.03715992
P2RX1,0.000170823,0.333333333,3.057730591
NT5C2,0.000181324,0.5,3.170205707
TFRC,0.000174307,0.333333333,3.096549436
PRR4,0.000171292,0.333333333,3.063039151
TM4SF5,0.000177274,0.333333333,3.128400796
DHRS1,0.000170068,0.333333333,3.04910418
SDHA,0.000170474,0.333333333,3.053749171
KRT83,0.000169291,0.333333333,3.040145985
PSMF1,0.000172265,0.333333333,3.073988056
HOXC4,0.000172384,0.333333333,3.075315196
ZYX,0.000171733,0.333333333,3.068015926
MGAT3,0.00017328,0.333333333,3.085268746
KRT31,0.000173853,0.333333333,3.091572661
ITGB6,0.000175562,0.333333333,3.110152621
LAPTM5,0.000178699,0.333333333,3.143331121
RNASE3,0.000174795,0.333333333,3.101857996
C2CD2L,0.000171086,0.333333333,3.060716656
EXT2,0.000172325,0.333333333,3.074651626
TARDBP,0.000170358,0.333333333,3.052422031
SLC24A1,0.000164528,0.333333333,2.98341075
GLRB,0.000175131,0.333333333,3.105507631
DNAJB9,0.000175716,0.333333333,3.111811546
TAP2,0.000169492,0.333333333,3.04246848
IFITM3,0.000169779,0.333333333,3.04578633
TRAK2,0.000175254,0.333333333,3.106834771
PTPRG,0.000177368,0.5,3.129396151
LBX1,0.000176647,0.333333333,3.121765096
APOM,0.000171821,0.333333333,3.069011281
MXRA8,0.000169262,0.333333333,3.0398142
LHFPL2,0.000173822,0.333333333,3.091240876
PEA15,0.000170736,0.333333333,3.056735236
DDO,0.000169147,0.333333333,3.03848706
ATP6V1C1,0.000170823,0.333333333,3.057730591
ATP2A2,0.00017618,0.333333333,3.116788321
DDX51,0.000170271,0.333333333,3.051426676
MYH7,0.000173792,0.333333333,3.090909091
RHAG,0.000172712,0.333333333,3.078964831
GALE,0.000171233,0.333333333,3.062375581
ADRB3,0.000169291,0.333333333,3.040145985
ADAMTSL2,0.000175162,0.333333333,3.105839416
HIST1H2AG,0.000163934,0.333333333,2.97611148
FLII,0.000171851,0.333333333,3.069343066
PRLR,0.00017307,0.333333333,3.082946251
CH25H,0.000170213,0.333333333,3.050763106
GPR176,0.000166806,0.333333333,3.010948905
ELAVL4,0.000174886,0.333333333,3.102853351
EPX,0.00017319,0.333333333,3.084273391
CD40LG,0.000171527,0.333333333,3.065693431
GRK6,0.000171057,0.333333333,3.060384871
MYO1A,0.000170882,0.333333333,3.058394161
ALDH3B2,0.000172236,0.333333333,3.073656271
ZFP36L1,0.000181291,0.333333333,3.169873922
PDE4D,0.000181653,0.5,3.173523557
NSDHL,0.00016975,0.333333333,3.045454545
GH1,0.000170068,0.333333333,3.04910418
CDIPT,0.000174398,0.333333333,3.097544791
ATP1B1,0.000173611,0.333333333,3.088918381
DAPK2,0.000173581,0.333333333,3.088586596
OR7A5,0.000169664,0.333333333,3.04445919
ARF3,0.00017094,0.333333333,3.059057731
CDA,0.000178031,0.333333333,3.136363636
CYP11A1,0.00017319,0.333333333,3.084273391
ZNF384,0.000170329,0.333333333,3.052090246
LECT1,0.000174398,0.333333333,3.097544791
SORD,0.000171939,0.333333333,3.070338421
AGAP2,0.000171792,0.333333333,3.068679496
MTHFS,0.000179759,0.333333333,3.154280027
STAR,0.000175871,0.333333333,3.113470471
SULT1A1,0.000172533,0.333333333,3.076974121
E2F2,0.000176523,0.333333333,3.120437956
SLC8A1,0.000180343,0.333333333,3.160252157
SYT1,0.000183621,0.5,3.193098872
SEC31A,0.000177651,0.333333333,3.132382216
TBCD,0.000172236,0.333333333,3.073656271
CA2,0.000174277,0.333333333,3.096217651
KIF5A,0.00017135,0.333333333,3.063702721
SCG5,0.000175439,0.333333333,3.108825481
SUPT6H,0.000172533,0.333333333,3.076974121
KATNA1,0.000169348,0.333333333,3.040809555
GPR15,0.000170155,0.333333333,3.050099536
C6,0.000177305,0.333333333,3.128732581
MCC,0.000174277,0.333333333,3.096217651
TMEM187,0.000168209,0.333333333,3.027538155
SLIT1,0.000172951,0.333333333,3.081619111
MDFI,0.000171321,0.333333333,3.063370936
ANXA10,0.000175009,0.333333333,3.104180491
GPM6A,0.000183184,0.333333333,3.188785667
EDN2,0.000176929,0.333333333,3.124751161
NELL1,0.000180897,0.333333333,3.165892502
APOF,0.000170271,0.333333333,3.051426676
TYROBP,0.000176056,0.333333333,3.115461181
PPIA,0.000168691,0.333333333,3.0331785
SSX5,0.000165645,0.333333333,2.997013935
ALPK3,0.000170532,0.333333333,3.054412741
TENM1,0.000173461,0.333333333,3.087259456
YAP1,0.00017331,0.333333333,3.085600531
ARMC6,0.000170358,0.333333333,3.052422031
HINT1,0.000174186,0.333333333,3.095222296
YWHAQ,0.000174642,0.333333333,3.100199071
RAB3B,0.000177715,0.333333333,3.133045786
CHRNB2,0.000173974,0.333333333,3.092899801
YWHAE,0.000173671,0.333333333,3.089581951
KRIT1,0.000166085,0.333333333,3.002322495
KRT32,0.00017135,0.333333333,3.063702721
URM1,0.000169952,0.333333333,3.04777704
NKX2-8,0.000169895,0.333333333,3.04711347
KRT15,0.000174368,0.333333333,3.097213006
BRS3,0.000177022,0.333333333,3.125746516
GABRD,0.000171174,0.333333333,3.061712011
CYBB,0.000172682,0.333333333,3.078633046
RALGDS,0.00017059,0.333333333,3.055076311
PRKACB,0.000174795,0.333333333,3.101857996
COL4A4,0.000168634,0.333333333,3.03251493
ALG13,0.000173974,0.333333333,3.092899801
CTSG,0.000173581,0.333333333,3.088586596
FCER1A,0.0001731,0.333333333,3.083278036
TK2,0.000170271,0.333333333,3.051426676
NKG7,0.000174307,0.333333333,3.096549436
NEDD8,0.000173611,0.333333333,3.088918381
DGAT1,0.000172354,0.333333333,3.074983411
CDC42,0.000171204,0.333333333,3.062043796
MVP,0.000172206,0.333333333,3.073324486
USP15,0.000177336,0.333333333,3.129064366
PTGER1,0.000170068,0.333333333,3.04910418
SPAG7,0.00017001,0.333333333,3.04844061
SLC22A24,0.000173611,0.333333333,3.088918381
