gene name,Betweenness unDir,Stress unDir
CYTH2,384.9040721,12974
PIP4K2B,779.4073941,28848
PELP1,655.8625469,26498
MCM4,3641.979673,190576
ABL1,5668.409985,215428
RAD51D,158.7396468,4926
NUP205,3417.57551,174610
SPAG5,735.43828,45908
PGF,982.3785855,32340
UBE3A,4771.138728,210194
WDHD1,1521.279483,79326
RFC5,2334.955443,117282
FCGR3A,472.1846165,15808
RAD21,4860.551081,250228
TRIP13,3299.22019,163810
PDS5B,1245.628966,61108
MCM5,3063.22111,146412
ZBTB25,1567.007317,57726
NDC80,1728.595613,107738
CHUK,4739.318717,202662
TFDP2,950.9266033,44606
CDIPT,997.2413171,29732
CD19,812.1296545,30084
STMN1,829.7707114,51048
RPS6KA3,1556.841156,65390
NUP50,1719.952117,87430
IL3,286.1522775,8838
PDE9A,473.0483489,18486
PRKAB2,540.5397071,17252
REV3L,2472.659255,102910
NCOA2,3793.658359,147788
NCOA6,1681.03634,65042
UGCG,1525.113023,62286
TRAIP,1032.826453,41482
CHAF1A,1713.550216,92998
CDK6,3181.229998,149070
PI4KB,2704.619778,106966
PRIM1,3865.351388,206590
MARK2,1456.453525,60074
CCR4,602.2852643,16716
NUDT1,1831.153743,83518
ESR2,833.5236608,29416
IFNA1,284.7866963,6890
KIF2C,2133.027674,125186
PIK3C3,7255.379348,276710
DUT,5498.246741,271268
BAK1,579.590432,23018
TERF2IP,3675.829799,137788
PIK3CG,2421.071631,106170
THRB,2353.704918,88686
PTGS2,1806.269355,65588
CKS2,4194.721785,215914
MCM7,2762.809364,163604
NR1D2,1755.855684,77084
JAK1,4117.0428,168410
GADD45A,1144.237122,42604
CCND3,1625.017521,72126
IFI16,1738.47421,75092
DNMT1,4685.190387,228050
TROAP,1761.164506,75170
JUN,8069.52,281334
SYF2,747.1800034,29544
CDK9,3466.126167,142816
ATG13,321.5620117,10134
PIP4K2A,3494.818765,143732
CKS1B,1752.131086,105622
KIFC1,767.9964231,43516
POLD3,2706.734274,118476
RLF,3874.398674,165804
MYBL2,1774.076318,87066
CENPA,2789.187238,147232
WHSC1,3148.238624,143926
CCNB2,1471.910709,85016
SMC3,5055.514961,244870
INPP5D,2184.626823,75400
PKN2,4291.200429,183490
ATM*KDG*,7812.97,262858
REL,2342.008836,88540
AURKB,3278.346036,171328
NCAPD2,2122.169567,107784
ICK,1037.846705,49706
GABPB1,947.4400047,47216
SMAD4,3394.022899,154490
SNRK,3084.210414,143960
SLC9A3R1,951.8800546,26394
SCAF11,1961.052489,92856
AGPS,2090.882865,97110
TEP1,948.8271694,27064
PIK3C2G,347.8469245,9224
PIP5K1B,2919.692177,108760
VRK1,7263.05,356000
